epoch,mean_test_auc,std_test_auc,count
0,0.864092,0.145097,5
1,0.893487,0.161055,5
2,0.719635,0.000000,1
3,0.899369,0.000000,1
4,0.929884,0.000000,1
5,0.959704,0.000000,1
