epoch: 0,  train auc: 0.6932410137783859,   val auc: 0.6655431781395793,  test auc: 0.6464168310322156
epoch: 1,  train auc: 0.8400010750366125,   val auc: 0.8128534704370179,  test auc: 0.8159434582511506
epoch: 2,  train auc: 0.9437966851151751,   val auc: 0.9269351613824621,  test auc: 0.9008108700416393
epoch: 3,  train auc: 0.9646645367110858,   val auc: 0.9534609159287822,  test auc: 0.9196362042515889
epoch: 4,  train auc: 0.9738556282410232,   val auc: 0.9653432352661144,  test auc: 0.932341661187815
epoch: 5,  train auc: 0.974384187908856,   val auc: 0.9650766447681615,  test auc: 0.9225509533201841
epoch: 6,  train auc: 0.979314503847028,   val auc: 0.9700085689802913,  test auc: 0.9299254876177953
epoch: 7,  train auc: 0.6481250748517817,   val auc: 0.6639245929734361,  test auc: 0.607796405873329
epoch: 8,  train auc: 0.9331388522946845,   val auc: 0.9202323145767876,  test auc: 0.8727810650887574
epoch: 9,  train auc: 0.965957409689852,   val auc: 0.9530039036465772,  test auc: 0.9076813499890423
epoch: 10,  train auc: 0.9673485919377912,   val auc: 0.956050652194611,  test auc: 0.9154941924172694
epoch: 11,  train auc: 0.9649311740814333,   val auc: 0.9513281919451585,  test auc: 0.9138395792241947
epoch: 12,  train auc: 0.9798779550540393,   val auc: 0.9670379891459583,  test auc: 0.9254766600920448
epoch: 13,  train auc: 0.980633073972892,   val auc: 0.9744644387317909,  test auc: 0.9277010738549201
epoch: 14,  train auc: 0.985266340320757,   val auc: 0.9782157478815576,  test auc: 0.9329498137190445
epoch: 15,  train auc: 0.9842283170301831,   val auc: 0.9780824526325812,  test auc: 0.9317773394696471
epoch: 16,  train auc: 0.9868593276871908,   val auc: 0.9807864419689614,  test auc: 0.9466798159105851
epoch: 17,  train auc: 0.9876450945796466,   val auc: 0.9783680853089594,  test auc: 0.930024106947184
epoch: 18,  train auc: 0.9897567399609025,   val auc: 0.9881557650195183,  test auc: 0.9466031119877275
epoch: 19,  train auc: 0.99181298323603,   val auc: 0.9829762924878607,  test auc: 0.950706771860618
epoch: 20,  train auc: 0.9915958541307339,   val auc: 0.9844806245834523,  test auc: 0.9464387464387464
epoch: 21,  train auc: 0.9934543000992994,   val auc: 0.9869180234218795,  test auc: 0.9524764409379795
epoch: 22,  train auc: 0.9942612848196343,   val auc: 0.9899266876130629,  test auc: 0.9535283804514574
epoch: 23,  train auc: 0.9945168417687559,   val auc: 0.9908787965343235,  test auc: 0.9541639272408504
epoch: 24,  train auc: 0.9949744395900151,   val auc: 0.9856421974673903,  test auc: 0.942296734604427
epoch: 25,  train auc: 0.9967840845544584,   val auc: 0.9907264591069218,  test auc: 0.9615713346482577
epoch: 26,  train auc: 0.9962720276416432,   val auc: 0.9886699038369989,  test auc: 0.9551172474249398
epoch: 27,  train auc: 0.9970231387485631,   val auc: 0.9920594115966866,  test auc: 0.9569362261669955
epoch: 28,  train auc: 0.9973843133297939,   val auc: 0.9930496048747977,  test auc: 0.9501534078457154
epoch: 29,  train auc: 0.9979362126082935,   val auc: 0.9884223555174712,  test auc: 0.9478194170501862
epoch: 30,  train auc: 0.998283006217295,   val auc: 0.9894887175092831,  test auc: 0.9508273065965374
epoch: 31,  train auc: 0.9987769100995916,   val auc: 0.9935066171570027,  test auc: 0.956202060048214
epoch: 32,  train auc: 0.9965556392742937,   val auc: 0.9895839284014091,  test auc: 0.9561308349769888
epoch: 33,  train auc: 0.998030749819177,   val auc: 0.993525659335428,  test auc: 0.9587113740959895
epoch: 34,  train auc: 0.9991630745669913,   val auc: 0.9952013710368467,  test auc: 0.9467619986850756
epoch: 35,  train auc: 0.997440422696852,   val auc: 0.991107302675426,  test auc: 0.9490028490028491
epoch: 36,  train auc: 0.997160347368848,   val auc: 0.9880986384842425,  test auc: 0.94660859083936
epoch: 37,  train auc: 0.9994681397811641,   val auc: 0.9909740074264497,  test auc: 0.9540653079114616
epoch: 38,  train auc: 0.9992830731713298,   val auc: 0.990383699895268,  test auc: 0.9596537365768134
epoch: 39,  train auc: 0.9991354913907483,   val auc: 0.9899838141483386,  test auc: 0.9589250493096647
epoch: 40,  train auc: 0.9992620910970936,   val auc: 0.9936018280491288,  test auc: 0.949890422967346
epoch: 41,  train auc: 0.9989393443596885,   val auc: 0.9931257735884985,  test auc: 0.9514902476440938
epoch: 42,  train auc: 0.999540516149596,   val auc: 0.9951061601447205,  test auc: 0.9641792680254219
epoch: 43,  train auc: 0.999195372816096,   val auc: 0.9939636294392078,  test auc: 0.9565636642559721
epoch: 44,  train auc: 0.9988789914270544,   val auc: 0.9945348947919642,  test auc: 0.9571772956388341
epoch: 45,  train auc: 0.9997953658377884,   val auc: 0.9938684185470819,  test auc: 0.9598126232741618
epoch: 46,  train auc: 0.9997057794534099,   val auc: 0.9919642007045606,  test auc: 0.9565910585141355
epoch: 47,  train auc: 0.9999264448633525,   val auc: 0.9945348947919641,  test auc: 0.9506903353057199
epoch: 48,  train auc: 0.9999379967918643,   val auc: 0.9943444730077121,  test auc: 0.9591606399298707
epoch: 49,  train auc: 0.9995572546582562,   val auc: 0.9904598686089688,  test auc: 0.9538132807363576
epoch: 50,  train auc: 0.9999898625933467,   val auc: 0.9918499476340092,  test auc: 0.9574950690335305
epoch: 51,  train auc: 1.0,   val auc: 0.9929543939826716,  test auc: 0.9544269121192198
epoch: 52,  train auc: 1.0,   val auc: 0.9932019423021993,  test auc: 0.9547994740302432
epoch: 53,  train auc: 1.0,   val auc: 0.9939826716176331,  test auc: 0.9542954196800351
epoch: 54,  train auc: 1.0,   val auc: 0.9940778825097591,  test auc: 0.9551555993863686
epoch: 55,  train auc: 1.0,   val auc: 0.9938874607255069,  test auc: 0.955166557089634
epoch: 56,  train auc: 1.0,   val auc: 0.9936018280491288,  test auc: 0.9556541748849442
epoch: 57,  train auc: 1.0,   val auc: 0.9935827858707036,  test auc: 0.9567773394696472
epoch: 58,  train auc: 1.0,   val auc: 0.9940397981529087,  test auc: 0.9563719044488276
epoch: 59,  train auc: 1.0,   val auc: 0.9941159668666095,  test auc: 0.9550679377602455
epoch: 60,  train auc: 1.0,   val auc: 0.9935066171570027,  test auc: 0.9539228577690115
epoch: 61,  train auc: 1.0,   val auc: 0.9933161953727506,  test auc: 0.9543611658996275
epoch: 62,  train auc: 1.0,   val auc: 0.9936589545844043,  test auc: 0.957089634012711
epoch: 63,  train auc: 1.0,   val auc: 0.9937922498333809,  test auc: 0.9563280736357659
epoch: 64,  train auc: 1.0,   val auc: 0.9935256593354279,  test auc: 0.9543556870479948
epoch: 65,  train auc: 1.0,   val auc: 0.9933161953727506,  test auc: 0.9570184089414859
epoch: 66,  train auc: 1.0,   val auc: 0.9933733219080263,  test auc: 0.9537201402586017
epoch: 67,  train auc: 1.0,   val auc: 0.9933161953727505,  test auc: 0.9533366206443129
epoch: 68,  train auc: 1.0,   val auc: 0.9937541654765305,  test auc: 0.9533585360508438
epoch: 69,  train auc: 1.0,   val auc: 0.9934875749785775,  test auc: 0.9528325662941047
epoch: 70,  train auc: 1.0,   val auc: 0.9928782252689707,  test auc: 0.954514573745343
epoch: 71,  train auc: 1.0,   val auc: 0.9928972674473959,  test auc: 0.9555555555555555
epoch: 72,  train auc: 1.0,   val auc: 0.9925925925925926,  test auc: 0.9539721674337058
epoch: 73,  train auc: 1.0,   val auc: 0.99258307150338,  test auc: 0.9535612535612535
epoch: 74,  train auc: 1.0,   val auc: 0.992992478339522,  test auc: 0.9537749287749288
epoch: 75,  train auc: 0.9999999999999999,   val auc: 0.9931067314100733,  test auc: 0.9541584483892177
epoch: 76,  train auc: 1.0,   val auc: 0.9931162524992859,  test auc: 0.9536653517422747
epoch: 77,  train auc: 1.0,   val auc: 0.9931829001237741,  test auc: 0.9537146614069691
