epoch: 0,  train auc: 0.622154177270404,   val auc: 0.6187223050460254,  test auc: 0.6077303624210771
epoch: 1,  train auc: 0.6442204126829605,   val auc: 0.6427876291312768,  test auc: 0.6370071127197215
epoch: 2,  train auc: 0.67228556150244,   val auc: 0.6670909542939347,  test auc: 0.6666182766849786
epoch: 3,  train auc: 0.6857618303413322,   val auc: 0.6833628533937628,  test auc: 0.6797420192178638
epoch: 4,  train auc: 0.6836943785530086,   val auc: 0.6895965167422599,  test auc: 0.675046799066869
epoch: 5,  train auc: 0.7022226533998924,   val auc: 0.7040254342060106,  test auc: 0.6926129465087971
epoch: 6,  train auc: 0.7090158556161379,   val auc: 0.7055285796785912,  test auc: 0.6999634765447654
epoch: 7,  train auc: 0.7131394724869204,   val auc: 0.7111621156901189,  test auc: 0.7009605672929664
epoch: 8,  train auc: 0.7274318349980708,   val auc: 0.7204466867824201,  test auc: 0.7135124813637336
epoch: 9,  train auc: 0.7286645285035885,   val auc: 0.7226482585182721,  test auc: 0.7133334785704913
epoch: 10,  train auc: 0.7388908435324347,   val auc: 0.7310408074327793,  test auc: 0.721476694991398
epoch: 11,  train auc: 0.741272367845479,   val auc: 0.7275511200824661,  test auc: 0.7233502881481142
epoch: 12,  train auc: 0.7491192130608503,   val auc: 0.734665385003104,  test auc: 0.7260256948532049
epoch: 13,  train auc: 0.7522114105624658,   val auc: 0.7338137806192123,  test auc: 0.7302583143396412
epoch: 14,  train auc: 0.7590367216258979,   val auc: 0.7351165146687242,  test auc: 0.7354528648848848
epoch: 15,  train auc: 0.7625611860693855,   val auc: 0.7354976426585033,  test auc: 0.7334566297830315
epoch: 16,  train auc: 0.7621530113199968,   val auc: 0.7410579606607637,  test auc: 0.738277261345237
epoch: 17,  train auc: 0.7654980208502827,   val auc: 0.7414121027748708,  test auc: 0.7344520250419031
epoch: 18,  train auc: 0.7713990362933304,   val auc: 0.7434182590932218,  test auc: 0.740766528018274
epoch: 19,  train auc: 0.7772717785879816,   val auc: 0.745912611024836,  test auc: 0.7409359983912462
epoch: 20,  train auc: 0.7794852700109927,   val auc: 0.7443641085670539,  test auc: 0.7432274655623123
epoch: 21,  train auc: 0.7831411680218501,   val auc: 0.7477811400821103,  test auc: 0.745735083472525
epoch: 22,  train auc: 0.7828116859379044,   val auc: 0.7451483588064506,  test auc: 0.7401055402668738
epoch: 23,  train auc: 0.7840865364375126,   val auc: 0.7492910150051761,  test auc: 0.7429494839627347
epoch: 24,  train auc: 0.7858203371448494,   val auc: 0.747634631968714,  test auc: 0.7449767363976914
epoch: 25,  train auc: 0.7908511588294891,   val auc: 0.7512619635481085,  test auc: 0.7467324890629364
epoch: 26,  train auc: 0.7890462519297347,   val auc: 0.7418457702510656,  test auc: 0.7442459785921673
epoch: 27,  train auc: 0.7940043452440192,   val auc: 0.7474483445448918,  test auc: 0.7475890490675409
epoch: 28,  train auc: 0.8018114100025365,   val auc: 0.7525917911432316,  test auc: 0.7511838277393377
epoch: 29,  train auc: 0.7966693432057704,   val auc: 0.7487422433232437,  test auc: 0.7472343541651056
