epoch: 0,  train auc: 0.9705683075144562,   val auc: 0.9861701245429331,  test auc: 0.9575133783864677
epoch: 1,  train auc: 0.9922998958835513,   val auc: 0.9920203196153664,  test auc: 0.9810916651441275
epoch: 2,  train auc: 0.9963787308801252,   val auc: 0.9984530347635615,  test auc: 0.984791841566631
epoch: 3,  train auc: 0.997596884335061,   val auc: 0.9974413661162889,  test auc: 0.9870406630767856
epoch: 4,  train auc: 0.9982150656854736,   val auc: 0.9986995773591212,  test auc: 0.9877515581301698
epoch: 5,  train auc: 0.9993504440872134,   val auc: 0.9990310916476766,  test auc: 0.9886807671877264
epoch: 6,  train auc: 0.9986424429187936,   val auc: 0.9982344073919162,  test auc: 0.9890848536745562
epoch: 7,  train auc: 0.9994919780258229,   val auc: 0.9989472396576818,  test auc: 0.9889473759635464
epoch: 8,  train auc: 0.9999287014910739,   val auc: 0.9993069850471339,  test auc: 0.9902572489536975
epoch: 9,  train auc: 0.9999421591090496,   val auc: 0.999395451759171,  test auc: 0.990622105623412
epoch: 10,  train auc: 0.9999682835705539,   val auc: 0.998984443466465,  test auc: 0.991380317164193
epoch: 11,  train auc: 0.9999490644083052,   val auc: 0.998995899929625,  test auc: 0.9910002859429162
epoch: 12,  train auc: 0.9998798913114136,   val auc: 0.9991487665393654,  test auc: 0.9893571821823538
epoch: 13,  train auc: 0.9997170706144858,   val auc: 0.9989349222060139,  test auc: 0.9891538824330922
epoch: 14,  train auc: 0.9999287797326648,   val auc: 0.9993202358883029,  test auc: 0.991060213761546
epoch: 15,  train auc: 0.9999866850756444,   val auc: 0.9993702449272122,  test auc: 0.9924517111912592
epoch: 16,  train auc: 0.9999773720611269,   val auc: 0.9988413558488793,  test auc: 0.9912452195492982
epoch: 17,  train auc: 0.9999914543763424,   val auc: 0.9994106398100133,  test auc: 0.9925877132602093
epoch: 18,  train auc: 0.9999966538671312,   val auc: 0.999347954652529,  test auc: 0.9928000546622947
epoch: 19,  train auc: 0.9999581122295403,   val auc: 0.9985843335719422,  test auc: 0.9899084709164612
epoch: 20,  train auc: 0.9999689771301781,   val auc: 0.9992536250619505,  test auc: 0.9921487013865019
epoch: 21,  train auc: 0.9999846644743233,   val auc: 0.99947672248773,  test auc: 0.9923306698169967
epoch: 22,  train auc: 0.9999869054599927,   val auc: 0.9995415879835707,  test auc: 0.9918900151767669
epoch: 23,  train auc: 0.9999486688370428,   val auc: 0.9984848755491688,  test auc: 0.9897967706733012
epoch: 24,  train auc: 0.9999636947350049,   val auc: 0.9995610968172276,  test auc: 0.9920814356503282
epoch: 25,  train auc: 0.9999972572159176,   val auc: 0.9996717648552879,  test auc: 0.992379805521661
epoch: 26,  train auc: 0.9999919332167662,   val auc: 0.9995204402321503,  test auc: 0.99244171840772
epoch: 27,  train auc: 0.9999896524664377,   val auc: 0.999504787361449,  test auc: 0.9926334335883663
epoch: 28,  train auc: 0.9998168283652302,   val auc: 0.9986530226017365,  test auc: 0.9894449097150892
epoch: 29,  train auc: 0.9999711047181091,   val auc: 0.9991908021333761,  test auc: 0.9912437848241008
epoch: 30,  train auc: 0.9999983752517252,   val auc: 0.9993999880424146,  test auc: 0.9926332090648837
epoch: 31,  train auc: 0.9999978019253128,   val auc: 0.9994571401661428,  test auc: 0.9931713176950333
epoch: 32,  train auc: 0.9999994775329403,   val auc: 0.9996406766552582,  test auc: 0.9915965623686648
epoch: 33,  train auc: 0.9999424801001852,   val auc: 0.9992976679026758,  test auc: 0.9913584040974108
epoch: 34,  train auc: 0.9999986775072759,   val auc: 0.9997595299808647,  test auc: 0.9933914928856105
epoch: 35,  train auc: 0.9999988149703133,   val auc: 0.999481766983499,  test auc: 0.9931072738183531
epoch: 36,  train auc: 0.9999684041037298,   val auc: 0.9996532330604581,  test auc: 0.9927889602485007
epoch: 37,  train auc: 0.9999994736051689,   val auc: 0.999740781012128,  test auc: 0.9935833310092547
epoch: 38,  train auc: 0.9999743289747323,   val auc: 0.9989830256678516,  test auc: 0.9897430779561449
epoch: 39,  train auc: 0.9999595936958318,   val auc: 0.9984889339125709,  test auc: 0.9917792746801531
epoch: 40,  train auc: 0.9999977802829473,   val auc: 0.9991557597398688,  test auc: 0.9924018687090608
epoch: 41,  train auc: 0.9999786487078566,   val auc: 0.9994469417694364,  test auc: 0.9914534634678055
epoch: 42,  train auc: 0.9999752711841264,   val auc: 0.9995557751990121,  test auc: 0.9918988029504714
epoch: 43,  train auc: 0.9999947915965723,   val auc: 0.9995203388446147,  test auc: 0.9923620802668345
